country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
SL,1.997926595,2.082317301,2.250113452,2.371580994,5.645624,5.829237,5.989633,6.133603,3.461999893,3.438999891,3.417000055,3.505000114
SM,2.275550152,2.363285562,2.531793253,2.57357202,0.029324,0.0297,0.030063,0.030434,MISSING,MISSING,MISSING,MISSING
SN,13.70745428,14.0448729,14.73847685,15.33632485,11.090116,11.382268,11.68708,12.004701,9.088000298,10.02999973,9.498999596,9.315999985
SO,MISSING,MISSING,MISSING,MISSING,10.446863,10.763905,11.080121,11.397188,14.86400032,14.39900017,13.81900024,13.68799973
SR,3.481761947,3.683479343,3.871759941,4.032182695,0.499464,0.505295,0.511181,0.517123,9.340000153,9.232999802,8.267000198,8.048000336
SS,MISSING,MISSING,MISSING,13.1773366,7.535932,7.907406,8.315139,8.736939,13.20499992,12.74199963,12.31700039,12.14999962
ST,0.148265552,0.161780916,0.167044628,0.180719188,0.157472,0.161681,0.1663,0.17112,16.46999931,16.64999962,15.28100014,13.99199963
SV,16.92653664,17.66163841,17.99024717,18.45274885,6.052123,6.079399,6.10581,6.131764,7.21999979,6.570000172,6.409999847,5.880000114
SX,MISSING,MISSING,MISSING,MISSING,0.033011,0.033441,0.033811,0.033964,MISSING,MISSING,MISSING,MISSING
SY,MISSING,MISSING,MISSING,MISSING,18.361176,19.059258,19.878254,20.664038,9.112999916,8.170000076,8.420000076,10.92000008
SZ,3.772877545,3.998954659,4.176323326,4.210638666,1.030579,1.036092,1.042652,1.049945,28.24699974,28.28300095,28.23999977,27.29599953
TC,MISSING,MISSING,MISSING,MISSING,0.02818,0.029391,0.030385,0.031202,MISSING,MISSING,MISSING,MISSING
TD,8.407921035,8.462426393,8.739274637,9.006057734,10.096633,10.457124,10.818024,11.183588,1.488000035,1.355000019,1.269999981,1.286000013
TG,2.762414501,2.874358933,2.940194799,3.059632945,5.61164,5.76288,5.920359,6.08342,1.978999972,1.848999977,1.675999999,1.646000028
TH,283.7674936,297.8648267,314.0540558,319.4735858,65.416189,65.812536,66.182067,66.530984,1.350000024,1.220000029,1.179999948,1.179999948
TJ,4.095670102,4.384351727,4.724583528,5.098323104,6.789321,6.922587,7.062672,7.20993,12.98099995,11.86299992,11.02799988,10.89000034
TL,2.626979268,3.721833098,3.917802729,4.306574846,0.995135,1.016432,1.036392,1.055431,3.601000071,3.28399992,3.102999926,2.963999987
TM,13.78826962,15.30129896,16.99351544,19.49156221,4.754646,4.810109,4.870141,4.935767,7.361000061,6.353000164,5.383999825,4.506999969
TN,35.27954359,37.12967172,39.62093175,41.29997841,10.106771,10.201214,10.304726,10.414433,12.87199974,12.51000023,12.36499977,12.44400024
TO,0.355816599,0.352926578,0.338224448,0.348707782,0.100905,0.101706,0.102581,0.103379,2.138999939,1.090000033,0.987999976,0.957000017
TR,658.1286098,704.9196021,740.3802837,746.6383588,67.903469,68.75681,69.581848,70.418604,10.63599968,8.718000412,8.868000031,9.710000038
TT,18.29369659,20.70993876,21.69453268,22.43035418,1.296502,1.302561,1.308451,1.314443,3.469000101,3.28399992,3.11500001,3.107000113
TV,0.029186812,0.0298111,0.031704273,0.034235308,0.01,0.01012,0.010221,0.010314,MISSING,MISSING,MISSING,MISSING
TZ,23.7912083,25.3453027,27.06080843,28.59959881,38.45032,39.548663,40.681414,41.853944,3.46600008,3.299000025,2.693000078,2.35800004
UA,129.9405212,139.6079692,150.2090579,153.6699178,47.10515,46.78775,46.50935,46.2582,7.179999828,6.809999943,6.349999905,6.360000134
UG,13.7038145,15.18173586,16.45888815,17.89225189,27.684585,28.571475,29.486338,30.431736,1.899999976,2.122999907,2.256000042,2.661999941
US,14332.49961,14741.6885,15018.26785,14997.75593,295.516599,298.379912,301.231207,304.093966,5.083000183,4.623000145,4.622000217,5.78399992
UY,30.15744514,31.39347135,33.44707869,35.84728944,3.321803,3.325401,3.331749,3.340221,12.00899982,10.84399986,9.402999878,8.024999619
UZ,31.30678457,33.6395841,36.82626368,40.15136633,26.167,26.48825,26.868,27.3028,6.927000046,5.849999905,4.989999771,4.889999866
VC,0.63685859,0.685822577,0.708746609,0.719976499,0.108614,0.108603,0.108518,0.108393,20.15699959,19.27400017,18.79400063,18.79999924
VE,327.7828215,360.1420304,391.6673469,412.3389781,26.432447,26.850194,27.24761,27.635832,10.66300011,8.605999947,7.278999805,6.244999886
VG,MISSING,MISSING,MISSING,MISSING,0.023107,0.024023,0.025047,0.026097,MISSING,MISSING,MISSING,MISSING
VI,4.232596793,4.386062957,4.563060599,4.606031125,0.108454,0.108371,0.108339,0.108399,8.772000313,8.472000122,8.187999725,8.173999786
VN,85.35180303,91.30761328,97.81739366,103.3555907,83.832661,84.61754,85.419591,86.243413,2.224999905,2.174000025,2.026000023,2.380000114
VU,0.549652585,0.596181555,0.627025087,0.667458933,0.209282,0.21437,0.219472,0.224704,6.186999798,5.781000137,5.373000145,5.058000088
WS,0.633126627,0.645591674,0.686410123,0.693336596,0.179727,0.180876,0.182046,0.183263,5.139999866,4.958000183,4.750999928,4.769000053
YE,25.00217746,25.79484883,26.65599128,27.62828708,20.107409,20.687646,21.282515,21.892146,11.79899979,11.60599995,11.3380003,11.34300041
ZA,322.2281837,340.2851991,358.5261052,369.9668408,47.880601,48.489459,49.119759,49.779471,29.25300026,28.48900032,26.66600037,22.43300056
ZM,13.35051277,14.4056965,15.60892312,16.82234454,11.856247,12.173514,12.502958,12.84853,15.89999962,12.5,9.987000465,7.929999828
ZW,11.72969586,11.323673,10.90998222,8.982303319,12.076699,12.155491,12.255922,12.379549,4.28399992,4.066999912,4.160999775,4.449999809
