"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"706","Somalia","12.5","65.63","51.67","10","8.33","56.38","100","25","35.94","36.67","25","17.27","10","40","49.76","13.89","49.13"
"710","South Africa","39.64","83.33","76.92","31.33","25","75.65","100","68.75","79.69","53.33","33.89","35.72","14","53.33","49.76","17.36","59.86"
"728","South Sudan","21.43","65.63","49.36","10","8.33","50.79","100","29.17","46.88","36.67","16.67","14.55","0","37.5","47.38","13.89","24.46"
"724","Spain","33.45","62.5","75.64","48.78","37.5","55.67","60","68.75","83.93","59.52","18.33","27.17","7","63.33","49.76","8.03","42.65"
"144","Sri Lanka","34.4","78.13","71.54","43.48","13.89","60.54","100","64.58","85.94","45.24","12.78","35.45","8.67","43.33","49.76","20.69","60.19"
"729","Sudan","27.64","65.63","53.59","22.1","8.33","52.21","100","29.17","48.44","36.67","33.52","26.36","16.67","40","47.38","16.67","53.05"
"740","Suriname","16.67","65.63","75.38","25.67","12.5","68.88","100","35.42","60.94","36.67","16.67","30.51","0","43.33","49.76","15.97","40.9"
"752","Sweden","37.26","62.5","71.79","27.41","26.39","57.1","60","60.42","83.93","72.22","26.11","27.17","16.33","43.33","49.76","24.09","43.38"
"756","Switzerland","37.11","75","73.72","36.19","26.39","59.24","60","52.08","83.93","72.22","15.93","27.17","13","33.33","49.76","23.33","49.63"
"760","Syrian Arab Republic","14.29","65.63","51.67","10","8.33","45.58","80","29.17","60.94","36.67","16.67","26.36","0","36.67","47.38","9.72","34.26"
"762","Tajikistan","32.7","70.83","55.51","26.33","8.33","68.5","100","35.42","65.63","36.67","34.26","25.45","15.33","37.5","47.38","15","46.79"
"764","Thailand","45.71","83.33","82.44","51.67","26.39","59.5","100","64.58","79.69","65.24","30","38.8","16","53.33","47.38","18.89","59.53"
"626","Timor-Leste","31.77","65.63","67.05","18.52","8.33","57.46","100","41.67","35.94","33.33","22.96","14.55","5.33","40","45.3","17.22","58.61"
"768","Togo","35.61","65.63","64.74","33.48","8.33","71.63","100","47.92","60.94","36.67","30.74","26.36","13.78","36.67","45.3","9.72","57.95"
"776","Tonga","19.39","65.63","60.13","10","8.33","61.63","100","29.17","48.44","46.67","17.78","17.27","13.33","40","45.3","16.67","57.3"
"780","Trinidad and Tobago","23.32","59.38","55.9","7","22.22","34.54","80","29.17","67.19","40","30.19","26.36","14","43.33","39.05","12.5","41.56"
"788","Tunisia","22.62","65.63","69.36","44.9","19.44","65.38","100","43.75","79.69","36.67","16.67","26.36","0","40","49.76","16.11","53.65"
